Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),94,6,6,14.50,14.50,0.45,0.45,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus aethiops ( 9534 ),Chlorocebus ( 392815 ),2,1,0,8.29,1.39,0.22,0.67,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),1,1,1,1.08,1.08,1.12,1.12,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,0.88,1.39,0.45,0.67,0.00,0.00,0.00,0.00
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.09,-0.00,0.45,0.67,0.00,0.00,0.00,0.00
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),0,1,0,7.16,-0.00,0.22,0.67,0.00,0.00,0.00,0.00
Bacteria,Veillonella parvula ( 29466 ),Veillonella ( 29465 ),0,0,0,-0.18,-0.18,0.22,0.22,0.00,-0.23,0.00,0.22
Acidovorax,Acidovorax sp. JS42 ( 232721 ),Acidovorax ( 12916 ),0,0,0,-0.19,-0.25,0.22,0.22,0.00,0.00,0.00,0.00
Bacteria,Sulfuritalea hydrogenivorans ( 748811 ),Sulfuritalea ( 1054211 ),0,0,0,-0.28,-0.28,0.22,0.22,0.00,0.00,0.00,0.00
Bacteria,Bordetella petrii ( 94624 ),Bordetella ( 517 ),0,0,0,-0.36,-0.34,0.22,0.22,0.00,0.00,0.00,0.00
Bacteria,Streptococcus parasanguinis ( 1318 ),Streptococcus ( 1301 ),0,0,0,-0.14,-0.18,0.89,0.89,-0.17,-0.23,0.22,0.22
