Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Viruses,Human herpesvirus 5 ( 10359 ),Cytomegalovirus ( 10358 ),1580,53,39,94.35,0.18,0.40,0.40,99.00,99.00,0.16,0.16
Viruses,Human herpesvirus 4 ( 10376 ),Lymphocryptovirus ( 10375 ),79,9,16,6.87,6.87,0.96,0.96,10.27,10.27,0.32,0.32
Mammalia,Colobus angolensis ( 54131 ),Colobus ( 9570 ),3,0,0,6.17,6.17,0.08,0.08,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.77,0.77,0.88,0.88,0.00,0.00,0.00,0.00
Mammalia,Microtus ochrogaster ( 79684 ),Microtus ( 10053 ),0,0,0,0.65,0.65,0.08,0.08,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.62,0.62,0.08,0.08,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.41,0.40,0.16,0.16,0.00,0.00,0.00,0.00
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.18,0.18,0.24,0.24,0.00,0.00,0.00,0.00
Viruses,Torque teno virus ( 68887 ),No genus ( -1 ),0,0,0,0.50,0.00,0.08,0.00,0.00,0.00,0.00,0.00
Bacteria,Proteus mirabilis ( 584 ),Proteus ( 583 ),0,0,0,-0.02,-0.04,0.40,0.40,0.01,-0.02,0.08,0.08
Bacteria,Bifidobacterium dentium ( 1689 ),Bifidobacterium ( 1678 ),0,0,0,-0.09,-0.21,0.08,0.08,0.00,-0.41,0.00,0.08
Escherichia coli,Escherichia coli ( 562 ),Escherichia ( 561 ),0,0,0,-0.10,-0.10,0.16,0.16,0.00,0.00,0.00,0.00
Mammalia,Papio anubis ( 9555 ),Papio ( 9554 ),0,0,0,-0.16,-0.16,0.08,0.08,0.00,0.00,0.00,0.00
Bacteria,Prevotella sp. oral taxon 299 ( 652716 ),Prevotella ( 838 ),0,0,0,-0.11,-0.22,0.08,0.08,0.00,0.00,0.00,0.00
Bacteria,Streptococcus oralis ( 1303 ),Streptococcus ( 1301 ),0,0,0,-0.20,-0.18,0.08,0.08,0.00,0.00,0.00,0.00
Bacteria,Citrobacter rodentium ( 67825 ),Citrobacter ( 544 ),0,0,0,-0.17,-0.28,0.08,0.08,0.00,0.00,0.00,0.00
Bacteria,Xanthomonas campestris ( 339 ),Xanthomonas ( 338 ),0,0,0,-0.20,-0.27,0.08,0.08,0.00,0.00,0.00,0.00
Bacteria,Pseudomonas pseudoalcaligenes ( 330 ),Pseudomonas ( 286 ),0,0,0,-0.18,-0.29,0.08,0.08,0.00,0.00,0.00,0.00
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.27,-0.25,0.08,0.16,0.00,0.00,0.00,0.00
Acidovorax,Acidovorax sp. KKS102 ( 358220 ),Acidovorax ( 12916 ),0,0,0,-0.27,-0.25,0.08,0.08,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium ureicelerivorans ( 401472 ),Corynebacterium ( 1716 ),0,0,0,-0.33,-0.23,0.16,0.16,-0.34,-0.16,0.08,0.08
Propionbacterium acnes,Propionibacterium acnes ( 1747 ),Propionibacterium ( 1743 ),0,0,0,-0.27,-0.27,0.24,0.24,0.00,0.00,0.00,0.00
Bacteria,Klebsiella pneumoniae ( 573 ),Klebsiella ( 570 ),0,0,0,-0.13,-0.16,0.88,0.88,-0.10,-0.12,0.32,0.48
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),0,0,0,2.30,-0.25,0.08,0.16,0.00,0.00,0.00,0.00
