Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Viruses,Torque teno virus 10 ( 687349 ),Alphatorquevirus ( 687331 ),0,2,0,100.00,0.05,0.02,0.07,0.00,1.72,0.00,0.02
Viruses,Torque teno virus 8 ( 687347 ),Alphatorquevirus ( 687331 ),0,2,0,100.00,0.05,0.02,0.07,0.00,1.72,0.00,0.02
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.45,0.45,0.44,0.44,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.53,0.53,0.07,0.07,0.00,0.00,0.00,0.00
Mammalia,Callithrix jacchus ( 9483 ),Callithrix ( 9481 ),0,0,0,0.24,0.24,0.02,0.02,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.12,0.11,0.10,0.10,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,0.07,0.05,0.15,0.15,0.00,0.00,0.00,0.00
Viruses,Torque teno virus ( 68887 ),No genus ( -1 ),0,1,0,4.64,0.00,0.39,0.00,1.33,0.00,0.02,0.00
Viruses,uncultured virus ( 340016 ),No genus ( -1 ),0,0,0,0.59,0.00,0.02,0.00,0.00,0.00,0.00,0.00
Viruses,SEN virus ( 136966 ),No genus ( -1 ),0,51,0,99.00,0.00,0.49,0.00,100.00,0.00,0.02,0.00
Bacteria,Mycobacterium gilvum ( 1804 ),Mycobacterium ( 1763 ),0,0,0,-0.12,-0.21,0.02,0.02,0.00,0.00,0.00,0.00
Viruses,Torque teno virus 16 ( 687355 ),Alphatorquevirus ( 687331 ),0,0,0,-0.53,0.05,0.02,0.07,0.00,1.72,0.00,0.02
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,-0.21,-0.21,0.02,0.02,0.00,0.00,0.00,0.00
Fungi,Bipolaris sorokiniana ( 45130 ),Bipolaris ( 33194 ),0,0,0,-0.25,-0.23,0.02,0.02,0.00,0.00,0.00,0.00
Bacteria,Staphylococcus epidermidis ( 1282 ),Staphylococcus ( 1279 ),0,0,0,-0.24,-0.26,0.02,0.02,0.00,-0.32,0.00,0.02
Bacteria,Enterobacter cloacae ( 550 ),Enterobacter ( 547 ),0,0,0,-0.17,-0.19,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Bos taurus ( 9913 ),Bos ( 9903 ),0,0,0,-0.26,-0.26,0.02,0.02,0.00,0.00,0.00,0.00
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.30,-0.28,0.02,0.10,0.00,0.00,0.00,0.00
Viridiplantae (green plants),Hordeum vulgare ( 4513 ),Hordeum ( 4512 ),0,0,0,-0.31,-0.32,0.02,0.02,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,-0.11,-0.11,0.22,0.22,0.00,0.00,0.00,0.00
Propionbacterium acnes,Propionibacterium acnes ( 1747 ),Propionibacterium ( 1743 ),0,0,0,-0.27,-0.27,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Stenotrophomonas maltophilia ( 40324 ),Stenotrophomonas ( 40323 ),0,0,0,-0.31,-0.32,0.22,0.22,-0.36,-0.36,0.02,0.02
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),0,0,0,2.07,-0.28,0.07,0.10,0.00,0.00,0.00,0.00
