Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Moraxella catarrhalis ( 480 ),Moraxella ( 475 ),515265,25282,10278,28.76,9.97,289.69,289.79,99.00,25.50,171.21,172.13
Eukaryotes,Anadara sp. KJP-2011 ( 944639 ),Anadara ( 6554 ),1016,10,10,100.00,100.00,0.10,0.10,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),6,2,2,2.98,2.93,0.71,0.71,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),4,2,2,1.75,1.75,1.63,1.63,0.00,0.00,0.00,0.00
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,3.02,3.02,0.10,0.10,0.00,0.00,0.00,0.00
Fungi,Schizosaccharomyces pombe ( 4896 ),Schizosaccharomyces ( 4895 ),0,0,0,0.71,-0.14,0.10,0.10,4.52,1.90,0.10,0.10
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),0,3,0,9.91,0.12,0.30,0.91,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.91,0.91,0.10,0.10,0.00,0.00,0.00,0.00
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.40,0.40,0.41,0.41,0.00,0.00,0.00,0.00
Mammalia,Macaca nemestrina ( 9545 ),Macaca ( 9539 ),0,0,0,1.23,0.12,0.10,0.91,0.00,0.00,0.00,0.00
Viridiplantae (green plants),Sorghum bicolor ( 4558 ),Sorghum ( 4557 ),0,0,0,0.03,0.03,0.10,0.10,0.00,0.00,0.00,0.00
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.00,0.10,0.00,0.00,0.00,0.00,0.00
Bacteria,Methylophilaceae bacterium MMS-2-53 ( 1581557 ),No genus ( -1 ),0,0,0,-0.27,0.00,0.10,0.00,0.00,0.00,0.00,0.00
Bacteria,Olsenella uli ( 133926 ),Olsenella ( 133925 ),0,0,0,-0.05,-0.07,0.10,0.10,0.00,0.00,0.00,0.00
Bacteria,Actinobacillus equuli ( 718 ),Actinobacillus ( 713 ),0,0,0,-0.05,-0.17,0.10,0.10,0.00,0.00,0.00,0.00
Bacteria,Xenorhabdus bovienii ( 40576 ),Xenorhabdus ( 626 ),0,0,0,-0.09,-0.11,0.10,0.10,0.00,0.00,0.00,0.00
Bacteria,Vibrio vulnificus ( 672 ),Vibrio ( 662 ),0,0,0,-0.09,-0.21,0.10,0.10,0.00,0.00,0.00,0.00
Bacteria,Mannheimia varigena ( 85404 ),Mannheimia ( 75984 ),0,0,0,-0.13,-0.15,0.10,0.10,0.00,0.00,0.00,0.00
Bacteria,Rothia dentocariosa ( 2047 ),Rothia ( 32207 ),0,0,0,-0.14,-0.14,0.10,0.30,0.00,0.00,0.00,0.00
Bacteria,Prevotella sp. oral taxon 299 ( 652716 ),Prevotella ( 838 ),0,0,0,-0.11,-0.21,0.10,0.61,0.00,-0.16,0.00,0.30
Bacteria,Streptococcus sanguinis ( 1305 ),Streptococcus ( 1301 ),0,0,0,-0.16,-0.18,0.10,0.51,0.00,-0.23,0.00,0.30
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.06,0.12,0.51,0.91,0.00,0.00,0.00,0.00
Bacteria,Rothia mucilaginosa ( 43675 ),Rothia ( 32207 ),0,0,0,-0.14,-0.14,0.20,0.30,0.00,0.00,0.00,0.00
