Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Haemophilus influenzae ( 727 ),Haemophilus ( 724 ),228478,15196,12840,23.50,14.58,421.50,421.50,29.84,15.88,177.27,198.93
Caudovirales (dsDNA phages),Haemophilus phage HP2 ( 157239 ),Hpunalikevirus ( 1196844 ),38999,393,389,100.00,99.00,3.94,3.94,0.00,0.00,0.00,0.00
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),8352,128,128,65.12,65.12,1.97,1.97,0.00,0.00,0.00,0.00
Bacteria,Pasteurella multocida ( 747 ),Pasteurella ( 745 ),5737,194,121,0.58,1.20,1.97,3.94,98.08,29.69,1.97,1.97
Bacteria,[Pasteurella] pneumotropica ( 758 ),Pasteurella ( 745 ),235,196,121,100.00,1.20,1.97,3.94,0.00,29.69,0.00,1.97
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),151,17,17,8.85,8.72,1.97,1.97,0.00,0.00,0.00,0.00
Viruses,Torque teno virus ( 68887 ),No genus ( -1 ),0,50,0,25.55,0.00,1.97,0.00,0.00,0.00,0.00,0.00
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),0,0,-8,-0.15,-0.16,1.97,25.61,-0.13,-0.17,1.97,15.76
Bacteria,Streptococcus pneumoniae ( 1313 ),Streptococcus ( 1301 ),0,-2,-8,-0.13,-0.16,23.64,25.61,0.07,-0.17,13.79,15.76
