Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),26,5,5,4.86,4.79,1.13,1.13,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),5,3,3,1.81,1.81,1.69,1.69,0.00,0.00,0.00,0.00
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),1,2,0,3.70,0.53,0.56,0.56,0.00,0.00,0.00,0.00
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.60,0.60,0.56,0.56,0.00,0.00,0.00,0.00
Bacteria,Sulfuricella denitrificans ( 649841 ),Sulfuricella ( 935200 ),0,0,0,0.39,0.39,0.56,0.56,0.00,0.00,0.00,0.00
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.00,0.56,0.00,-0.36,0.00,0.56,0.00
Fungi,Trichoderma reesei ( 51453 ),Trichoderma ( 5543 ),0,0,0,0.01,-0.09,0.56,0.56,0.00,0.00,0.00,0.00
Bacteria,Paracoccus aminophilus ( 34003 ),Paracoccus ( 265 ),0,0,0,-0.01,-0.32,1.13,2.25,0.00,0.00,0.00,0.00
Fungi,Bipolaris zeicola ( 5017 ),Bipolaris ( 33194 ),0,0,0,0.08,-0.16,0.56,0.56,0.00,0.00,0.00,0.00
Bacteria,Deinococcus swuensis ( 1182571 ),Deinococcus ( 1298 ),0,0,0,-0.05,-0.24,0.56,1.13,0.00,-0.26,0.00,1.13
Bacteria,Acinetobacter baumannii ( 470 ),Acinetobacter ( 469 ),0,0,0,-0.12,-0.13,0.56,1.69,0.00,-0.13,0.00,2.25
Bacteria,Sphingomonas wittichii ( 160791 ),Sphingomonas ( 13687 ),0,0,0,-0.11,-0.14,0.56,1.69,0.00,-0.32,0.00,1.69
Bacteria,Saccharopolyspora erythraea ( 1836 ),Saccharopolyspora ( 1835 ),0,0,0,-0.13,-0.13,0.56,0.56,0.00,0.00,0.00,0.00
Bacteria,Sphingomonas taxi ( 1549858 ),Sphingomonas ( 13687 ),0,0,0,-0.12,-0.14,0.56,1.69,0.00,-0.32,0.00,1.69
Bacteria,Acinetobacter oleivorans ( 1148157 ),Acinetobacter ( 469 ),0,0,0,-0.14,-0.13,0.56,1.69,0.00,-0.13,0.00,2.25
Bacteria,Brevundimonas subvibrioides ( 74313 ),Brevundimonas ( 41275 ),0,0,0,-0.13,-0.15,0.56,0.56,0.00,0.00,0.00,0.00
Bacteria,Deinococcus deserti ( 310783 ),Deinococcus ( 1298 ),0,0,0,-0.09,-0.24,0.56,1.13,0.00,-0.26,0.00,1.13
Bacteria,Mesorhizobium loti ( 381 ),Mesorhizobium ( 68287 ),0,0,0,-0.12,-0.19,0.56,0.56,0.00,0.00,0.00,0.00
Bacteria,Acinetobacter calcoaceticus ( 471 ),Acinetobacter ( 469 ),0,0,0,-0.13,-0.13,0.56,1.69,-0.04,-0.13,0.56,2.25
Bacteria,Delftia sp. Cs1-4 ( 742013 ),Delftia ( 80865 ),0,0,0,-0.20,-0.11,0.56,0.56,0.00,0.00,0.00,0.00
