Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Colobus angolensis ( 54131 ),Colobus ( 9570 ),0,0,0,4.11,4.11,0.06,0.06,0.00,0.00,0.00,0.00
Fungi,Candida glabrata ( 5478 ),Nakaseomyces ( 374468 ),0,0,0,0.19,0.18,0.39,0.39,2.34,1.95,0.11,0.11
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.67,0.67,0.61,0.61,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.11,0.11,0.39,0.39,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.27,0.27,0.06,0.06,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,-0.08,-0.09,0.06,0.06,0.00,0.00,0.00,0.00
Bacteria,Lactobacillus paracasei ( 1597 ),Lactobacillus ( 1578 ),0,0,0,0.04,-0.32,0.06,0.56,0.00,-0.33,0.00,0.06
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,-0.12,-0.12,0.06,0.06,0.00,0.00,0.00,0.00
Mammalia,Ovis aries ( 9940 ),Ovis ( 9935 ),0,0,0,-0.16,-0.16,0.06,0.06,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,-0.19,-0.19,0.06,0.06,0.00,0.00,0.00,0.00
Bacteria,Lactobacillus casei ( 1582 ),Lactobacillus ( 1578 ),0,0,0,-0.22,-0.32,0.06,0.56,0.00,-0.33,0.00,0.06
Propionbacterium acnes,Propionibacterium acnes ( 1747 ),Propionibacterium ( 1743 ),0,0,0,-0.27,-0.27,0.06,0.06,0.00,0.00,0.00,0.00
Mammalia,Macaca nemestrina ( 9545 ),Macaca ( 9539 ),0,0,0,0.50,-0.25,0.06,0.17,0.00,0.00,0.00,0.00
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.26,-0.25,0.11,0.17,0.00,0.00,0.00,0.00
Fungi,Candida dubliniensis ( 42374 ),Candida ( 1535326 ),0,1,0,3.17,-0.14,0.45,0.45,5.07,-0.18,0.06,0.11
Bacteria,Lactobacillus rhamnosus ( 47715 ),Lactobacillus ( 1578 ),0,0,0,2.06,-0.32,0.45,0.56,0.00,-0.33,0.00,0.06
